date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:49	338/338	---M-Z	200	added ('OK')	text/plain	date:Thu,%2010%20Nov%202022%2003:26:04%20GMT	https://www.pavitraorganicdayspa.com/robots.txt		(from )
17:16:50	82498/82498	---M-Z	200	added ('OK')	text/html	etag:W/%22f397dafe1f44011737a30b1044f039f0%22	https://www.pavitraorganicdayspa.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/www.pavitraorganicdayspa.com/index.html	(from )
17:16:50	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sun,%2013%20Nov%202022%2011:47:52%20GMT	http://static1.squarespace.com/static/5ac3d3a2e2ccd13bb0ba12c6/t/5ac3ef2703ce64b0ffa5703d/1522790190193/Pavitra-02+Fuchia+Gray.png?format=1500w	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/static1.squarespace.com/static/5ac3d3a2e2ccd13bb0ba12c6/t/5ac3ef2703ce64b0ffa5703d/1522790190193/Pavitra-02+Fuchia+Gray.026f7.delayed	(from https://www.pavitraorganicdayspa.com/)
17:16:52	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.pavitraorganicdayspa.com/)
17:16:52	20617/20617	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2013%20Nov%202022%2011:47:54%20GMT	http://use.typekit.net/ik/UcJZq9wU0tfm0TxjCnr1g5uVZqpJ9CYxKIgHXCXJiZCfeGC2fFHN4UJLFRbh52jhWDmyjDFqwhIkZQ4RjhbUwh4Kwe4ywQ4RFy78MPG0-a4TSasTjAtlShmtiY4zO1FUiABkZWF3jAF8OcFzdPUnSc8Die8ydKuDZWyXScv0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifU3jWZTiY4yda41jAoTjhsypWF3jPoRdhXCiaiaOclk-WFX-AB0OWF8pYskdkoDSWmyScmDSeBRZPoRdhXCiaiaO1gyic8XScBzSciydc8RZeBoSagyOcFzdPJb-Y83jWsTjPuDjAoDOWgkdkJ4Z1mXiW4yOWgXH6qJxDbbMg6fJMJ7fbKIFsMMeMb6MKG4fJ9uIMMjgKMfH6qJxQbbMg6YJMJ7fbKgFsMMeMt6MKG4fJjuIMMjIfMfH6qJxRbbMg6sJMJ7fbKemsMgeMw6MKG4fJsmIMIjgfMfH6qJxubbMs6BJMJ7fbKgmsMgeMS6MKG4fJmmIMIj2KMfH6qJ6B9bMs6VJMJ7fbKfmsMgegI6MTMg8jeshM9.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/use.typekit.net/ik/UcJZq9wU0tfm0TxjCnr1g5uVZqpJ9CYxKIgHXCXJiZCfeGC2fFHN4UJLFRbh52jhWDmyjDFqwhIkZQ4RjhbUwh4Kwe4ywQ4RFy78MPG0-a4TSasTjAtlShmtiY4zO1FUiABkZWF3jAF8	(from https://www.pavitraorganicdayspa.com/)
17:16:54	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.pavitraorganicdayspa.com/)
17:16:56	45323/45323	---M-Z	200	added ('OK')	text/javascript	etag:%22fdae2ee8300fc2935027fcbed43cadfb%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-b0e402906be83981e0264-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-b0e402906be83981e0264-min.en-US.js	(from https://www.pavitraorganicdayspa.com/)
17:16:58	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%226831fbfbcaefb323e1bca77209107e61%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-83b0e6eb9a2c7557ad4c0-min.en-US.js	(from https://www.pavitraorganicdayspa.com/)
17:16:59	59178/59178	---M--	200	added ('OK')	image/png	etag:CKS7rc+ZiOsCEAE=	https://images.squarespace-cdn.com/content/5ac3d3a2e2ccd13bb0ba12c6/1522790183281-TM16CZSJC2JV138ZQYSG/Pavitra-02+Fuchia+Gray.png?format=1500w&content-type=image%2Fpng	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/images.squarespace-cdn.com/content/5ac3d3a2e2ccd13bb0ba12c6/1522790183281-TM16CZSJC2JV138ZQYSG/Pavitra-02+Fuchia+Gray2acd.png	(from https://www.pavitraorganicdayspa.com/)
17:17:09	245971/245971	---M-Z	200	added ('OK')	text/javascript	etag:%22ff401016dabf83b96a4ad64dfbd64596%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-9b2a74c45b27271fd111d-min.en-US.js	(from https://www.pavitraorganicdayspa.com/)
17:17:10	575859/575859	---M-Z	200	added ('OK')	text/javascript	etag:%225c13c40151c71b4c8992acfa110f6acb%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day22/Web108/Site108/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-98bddc81dc37f44faa7b2-min.en-US.js	(from https://www.pavitraorganicdayspa.com/)
